COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Acetoacetate decarboxylase (Adc) (PDB:3BGT)	62.8135351611329	2.2919975303660542e-14	8.407046941382687e-11	Medium, Large	COG4689	GC_00004896, GC_00005953, GC_00011141, GC_00011886, GC_00014023, GC_00026864, GC_00027410, GC_00028658, GC_00036192, GC_00048184, GC_00052707, GC_00054245, GC_00078758	0.9669	0.4	1	151	15	15
H+/gluconate symporter GntT or related permease, GntP/DsdX family (GntT)	61.03766630933887	5.569794433519047e-14	1.0215002991073932e-10	Medium, Large	COG2610	GC_00003666, GC_00013858, GC_00022461, GC_00023842, GC_00033729	0.9139	0.2	1	151	15	15
Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!ADP-heptose:LPS heptosyltransferase (RfaF) (PDB:1PSW)!!!Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)!!!Lipoprotein NlpI, contains TPR repeats (NlpI) (PDB:5WQL)	60.22359413696658	8.367827002683288e-14	1.02310631486141e-10	Large	COG0457!!!COG0859!!!COG3063!!!COG4785	GC_00012585	0.0132	0	0.4667	151	15	15
Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit (AtoD) (PDB:1K6D)	57.33280887034255	3.550902419116381e-13	3.2561775183297213e-10	Medium, Large	COG1788	GC_00004277, GC_00008526, GC_00017719, GC_00022118, GC_00024332, GC_00027427, GC_00032498, GC_00036477, GC_00038192, GC_00038227	0.9338	0.2667	0.9333	151	15	15
Beta-L-arabinofuranosidase, GH127 family (HybA1) (PDB:3WKW) (PUBMED:24385433)	55.43841774457046	9.15588952937918e-13	6.716760558752568e-10	Large	COG3533	GC_00009492, GC_00028803, GC_00031828, GC_00078094	0.0596	0	0.6667	151	15	15
Predicted nucleic acid-binding protein, contains PIN domain (PDB:5WZF)	52.47978426654601	4.019385308699429e-12	2.4571842187182507e-9	Small	COG2402	GC_00009924, GC_00066836	0.0331	0.5333	0	151	15	15
Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)	49.78792689232188	1.544148424397538e-11	8.0913377438431e-9	Medium, Large	COG0280	GC_00004004, GC_00036393	0.8675	0.1333	0.9333	151	15	15
Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG (PucG) (PDB:3NNK)!!!O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent (MET17) (PDB:2CTZ)	47.953368442866164	3.8641888968411265e-11	1.7717306092016565e-8	Large	COG0075!!!COG2873	GC_00010408	0.0397	0	0.5333	151	15	15
Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain (DamX)	46.32628422004075	8.71716362733755e-11	3.552728465008237e-8	Medium, Large	COG3266	GC_00003890, GC_00010916, GC_00021518, GC_00029202	0.9205	0.3333	1	151	15	15
Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)!!!RNA methyltransferase activator Trm112/YbaR (Trm112) (PDB:2KPI) (PUBMED:27986851;30010922)	46.00263773011628	1.0248354518085166e-10	3.7590964372336385e-8	Large	COG2226!!!COG2835	GC_00017309, GC_00051693	0.0066	0	0.3333	151	15	15
Uncharacterized membrane-anchored protein	45.46822044120411	1.3387558457430622e-10	4.462266149556645e-8	Medium	COG4705	GC_00000791, GC_00004566, GC_00005075, GC_00005077, GC_00005132, GC_00005371, GC_00012177, GC_00014520, GC_00014988, GC_00015085, GC_00017191, GC_00023392, GC_00036247, GC_00045300, GC_00051990, GC_00071802	0.9669	0.4667	0.8667	151	15	15
Predicted ATPase	45.26704455354965	1.4804241775510178e-10	4.462266149556645e-8	Medium, Small	COG3910	GC_00003411, GC_00005020, GC_00013100, GC_00028888, GC_00029218, GC_00032137, GC_00035457, GC_00045198, GC_00051269, GC_00066550, GC_00076446, GC_00077130, GC_00077464	1	1	0.7333	151	15	15
Rhamnose utilisation protein RhaD, predicted bifunctional aldolase and dehydrogenase (RhaD) (PDB:3M4R)	45.134952955190464	1.5815010889922678e-10	4.462266149556645e-8	Small, Large	COG3347	GC_00009270, GC_00040287, GC_00060686	0.0662	0.2	0.6667	151	15	15
UDP:flavonoid glycosyltransferase YjiC, YdhE family (YjiC) (PDB:2ACV) (PUBMED:23974133)	44.765479770548076	1.9023901031931252e-10	4.984262070365988e-8	Medium	COG1819	GC_00005303, GC_00007726, GC_00021210, GC_00026681, GC_00026960, GC_00032959, GC_00041226, GC_00042589, GC_00042783, GC_00062288, GC_00066746, GC_00073919, GC_00075331	0.8278	0.0667	0.5333	151	15	15
2Fe-2S ferredoxin (PDB:1M2D) (PUBMED:24421039)	44.15190294175945	2.5854497027063807e-10	6.322286339684669e-8	Large	COG3411	GC_00008614	0.0927	0.1333	0.7333	151	15	15
Outer membrane receptor for Fe3+-dicitrate (FecA) (PDB:1KMP)	43.84332129514326	3.0167807390207676e-10	6.91596984420511e-8	Small	COG4772	GC_00009190, GC_00023295	0.0861	0.6667	0	151	15	15
Predicted phosphoesterase, related to the Icc protein (PDB:2YVT)	43.61032379576439	3.3895224188012544e-10	7.313393077742943e-8	Medium	COG2129	GC_00006212, GC_00018716, GC_00030592, GC_00034199, GC_00039491, GC_00042279, GC_00045554, GC_00051025, GC_00060156	0.7086	0	0.1333	151	15	15
Pectin methylesterase and related acyl-CoA thioesterases (PemB) (PDB:1GQ8)	43.29578543955244	3.966793993612462e-10	8.083444649205839e-8	Large	COG4677	GC_00009648	0.0662	0	0.6	151	15	15
Predicted NTPase, NACHT family domain (NACHT)	43.1097525821154	4.353476141127542e-10	8.404500255608329e-8	Small, Large	COG5635	GC_00019775, GC_00022120, GC_00023020, GC_00035866, GC_00046364, GC_00047285, GC_00049418, GC_00052911, GC_00053966, GC_00057293, GC_00067476, GC_00069354, GC_00074800, GC_00075317, GC_00077629, GC_00079048	0.0464	0.4667	0.4667	151	15	15
Lysyl-tRNA synthetase (class II) (LysU) (PDB:1BBU)	42.95143367693637	4.712101992923337e-10	8.6419950550214e-8	Small	COG1190	GC_00008933	0.0795	0.6667	0.0667	151	15	15
Uncharacterized conserved protein YaaN involved in tellurite resistance (YaaN)	42.707896491048096	5.32228479774373e-10	8.843177862824474e-8	Small, Large	COG3853	GC_00013297, GC_00025860	0.0265	0.0667	0.4667	151	15	15
N-acetylglucosamine-6-phosphate deacetylase (NagA) (PDB:1O12)	42.55648771324406	5.740848796296335e-10	8.843177862824474e-8	Medium, Large	COG1820	GC_00005904, GC_00008513, GC_00009560, GC_00019716	0.8477	0.1333	0.8667	151	15	15
Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain (RibD1) (PDB:2O7P)	42.45912090733199	6.027247725480149e-10	8.843177862824474e-8	Medium	COG0117	GC_00006248, GC_00033184	0.649	0	0	151	15	15
PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA (ArnT) (PDB:5EZM) (PUBMED:16226890;31233657;32706435)!!!Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)	42.45912090733199	6.027247725480149e-10	8.843177862824474e-8	Medium	COG1807!!!COG4783	GC_00005178	0.649	0	0	151	15	15
Phosphosulfolactate synthase, CoM biosynthesis protein A (ComA) (PDB:1QWG)	42.45912090733199	6.027247725480149e-10	8.843177862824474e-8	Medium	COG1809	GC_00006471, GC_00023957, GC_00070220	0.649	0	0	151	15	15
Copper-binding protein CopC (methionine-rich) (CopC) (PDB:1IX2)	42.08307797445203	7.27404070650641e-10	1.026199281210212e-7	Medium	COG2372	GC_00005593, GC_00010432, GC_00014503, GC_00015317, GC_00022040, GC_00024296, GC_00027530, GC_00033124, GC_00034542, GC_00035799, GC_00036260, GC_00038079, GC_00046204, GC_00050152, GC_00058023	0.8212	0.0667	0.6	151	15	15
Uncharacterized protein, contains RES domain (RES)	42.00019613979273	7.58181684345879e-10	1.0300038585854386e-7	Medium	COG5654	GC_00005926, GC_00014719, GC_00016639, GC_00020485, GC_00030113, GC_00033720, GC_00051323, GC_00053497, GC_00060658	0.7483	0.0667	0.2	151	15	15
Predicted N-acetyltransferase, GNAT superfamily	41.663324444799535	8.972718604176267e-10	1.175426137147091e-7	Small, Large	COG3818	GC_00012065, GC_00028642, GC_00030838, GC_00076467	0.0397	0.1333	0.5333	151	15	15
Predicted phosphohydrolase, DR1119 family, metallophosphatase superfamily (DR1119)	40.6552024419935	1.4853710642391707e-9	1.739510478985412e-7	Large	COG1768	GC_00010398	0.053	0	0.5333	151	15	15
Triphosphoribosyl-dephospho-CoA synthetase (CitG) (PDB:3H9P)	40.617226805002076	1.5138444890444194e-9	1.739510478985412e-7	Large	COG1767	GC_00007687, GC_00063368	0.1523	0	0.8	151	15	15
Uncharacterized conserved protein, DUF937 domain	40.6123156836135	1.5175663938804031e-9	1.739510478985412e-7	Large	COG5403	GC_00009296	0.0728	0	0.6	151	15	15
Adenosine/AMP kinase (PDB:1RLH)	40.6123156836135	1.5175663938804031e-9	1.739510478985412e-7	Large	COG1839	GC_00009242, GC_00079035	0.0728	0	0.6	151	15	15
Uncharacterized conserved protein YydD, contains DUF2326 domain (YydB)	39.72355072633223	2.3666855489580168e-9	2.6306068465387896e-7	Medium	COG5293	GC_00006619, GC_00041396, GC_00041685	0.6291	0	0	151	15	15
Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)	39.51251787435948	2.6300606316063877e-9	2.820424548492459e-7	Medium, Large	COG2169	GC_00003864, GC_00005540, GC_00044090	0.9007	0.3333	1	151	15	15
p-Aminobenzoyl-glutamate transporter AbgT (AbgT) (PDB:4R0C) (PUBMED:17307853)	39.46652400023164	2.6912447981798273e-9	2.820424548492459e-7	Medium	COG2978	GC_00005770	0.6821	0.1333	0	151	15	15
CBS-domain-containing membrane protein	39.334776235332754	2.87449704846154e-9	2.830372238071059e-7	Small, Large	COG3448	GC_00006898, GC_00009493, GC_00013460, GC_00016988, GC_00021001, GC_00021433, GC_00035488, GC_00039832, GC_00043112, GC_00049915, GC_00061154	0.3444	0.9333	1	151	15	15
FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)!!!HD superfamily phosphodieaserase, includes HD domain of RNase Y (RnaY) (PDB:3DTO) (PUBMED:19779461)	39.334776235332725	2.8744970484615804e-9	2.830372238071059e-7	Medium	COG1011!!!COG1418	GC_00006021	0.6556	0.0667	0	151	15	15
Magnesium-transporting ATPase (P-type) (MgtA) (PDB:1IWO)	39.29500617743107	2.932228599964565e-9	2.830372238071059e-7	Medium	COG0474	GC_00006451, GC_00010206, GC_00010497, GC_00011779, GC_00013723, GC_00015634, GC_00021676, GC_00025894, GC_00050799, GC_00051444, GC_00055877, GC_00056827, GC_00064883, GC_00078577	0.8344	0.2	0.4	151	15	15
Rhamnogalacturonyl hydrolase YesR (YesR) (PDB:1NC5)	38.99797763107089	3.4017058330605518e-9	3.1993479476066937e-7	Small, Large	COG4225	GC_00011835, GC_00012151, GC_00015630, GC_00018469, GC_00020591, GC_00051309, GC_00073590	0.0927	0.4	0.6667	151	15	15
Uncharacterized protein, contains SRPBCC domain (PDB:3GGN)	38.86712356795339	3.6317116024324422e-9	3.3302795394305493e-7	Small, Large	COG5637	GC_00007780, GC_00016474, GC_00027545, GC_00071837, GC_00073776	0.1457	0.6	0.7333	151	15	15
Serine/threonine protein kinase (SPS1) (PDB:6G4J)!!!Superfamily I DNA and/or RNA helicase (DNA2) (PDB:2GJK)	38.498372399281564	4.367014685381922e-9	3.5992127027571876e-7	Medium	COG0515!!!COG1112	GC_00006457, GC_00021797, GC_00024324, GC_00032179, GC_00041201, GC_00041244, GC_00041418, GC_00044617, GC_00047960	0.6755	0.1333	0	151	15	15
UDP-N-acetylglucosamine 2-epimerase (WecB) (PDB:1F6D) (PUBMED:26641313;30389844)!!!UDP-N-acetyl-D-mannosaminuronate dehydrogenase (WecC) (PDB:3OJL)	38.41949891862958	4.5426765083692554e-9	3.5992127027571876e-7	Medium	COG0381!!!COG0677	GC_00006103	0.649	0	0.0667	151	15	15
Phage-related protein, tail protein J	38.41949891862958	4.5426765083692554e-9	3.5992127027571876e-7	Medium	COG4733	GC_00006753, GC_00018678, GC_00076336	0.649	0.0667	0	151	15	15
Uncharacterized conserved protein, DUF2199 domain	38.41949891862958	4.5426765083692554e-9	3.5992127027571876e-7	Medium	COG4899	GC_00006259, GC_00033225, GC_00062346	0.649	0	0.0667	151	15	15
DNA-binding response regulator, LytR/AlgR family (LytT) (PDB:3BS1)!!!MHYT domain, NO-binding membrane sensor (MHYT)	38.370723653615734	4.654823576094593e-9	3.5992127027571876e-7	Medium, Large	COG3279!!!COG3300	GC_00004660	0.8278	0.1333	0.8667	151	15	15
Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)!!!GAF domain (GAF)	38.320876539009035	4.772296174810785e-9	3.5992127027571876e-7	Small, Large	COG2114!!!COG2203	GC_00016539, GC_00017273, GC_00022472, GC_00027352, GC_00060642	0.0464	0.1333	0.5333	151	15	15
General stress protein YciG, contains tandem KGG domains (GsiB)	38.2598600686081	4.920134180749364e-9	3.5992127027571876e-7	Large	COG3729	GC_00014921	0.0132	0	0.3333	151	15	15
Acyl carrier protein (AcpP) (PDB:1ACP)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	38.2598600686081	4.920134180749364e-9	3.5992127027571876e-7	Large	COG0236!!!COG1020!!!COG3319	GC_00014849	0.0132	0	0.3333	151	15	15
Superfamily I DNA and/or RNA helicase (DNA2) (PDB:2GJK)!!!Very-short-patch-repair endonuclease (YcjD) (PDB:3HRL)	38.19548028290659	5.081089441028225e-9	3.5992127027571876e-7	Large	COG1112!!!COG2852	GC_00011760, GC_00021163, GC_00026475, GC_00046985, GC_00055432, GC_00057561	0.0795	0	0.6	151	15	15
Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)!!!Predicted ATPase!!!Predicted ATPase	38.14787035934748	5.203495739255715e-9	3.5992127027571876e-7	Medium, Large	COG2114!!!COG3899!!!COG3903	GC_00006006, GC_00006013, GC_00007464, GC_00021715, GC_00022517, GC_00029785, GC_00030981, GC_00043889, GC_00045549, GC_00050855, GC_00071497	0.8874	0.2667	0.8667	151	15	15
Uncharacterized membrane protein, UPF0182 family	38.10122258442496	5.3262879171864565e-9	3.5992127027571876e-7	Medium	COG1615	GC_00004964	0.755	0	0.4667	151	15	15
Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)	38.00346217726714	5.593105890326056e-9	3.5992127027571876e-7	Medium	COG1035	GC_00006581	0.6159	0	0	151	15	15
Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains (YbjD)!!!Predicted ATPase	38.00346217726714	5.593105890326056e-9	3.5992127027571876e-7	Medium	COG3593!!!COG4637	GC_00006561, GC_00006637	0.6159	0	0	151	15	15
MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase (FlhG) (PDB:1G3Q)	38.00346217726714	5.593105890326056e-9	3.5992127027571876e-7	Medium	COG0455	GC_00006495	0.6159	0	0	151	15	15
Large exoprotein involved in heme utilization or adhesion (FhaB) (PDB:4RM6)!!!Autotransporter adhesin AidA (AidA)	38.00346217726714	5.593105890326056e-9	3.5992127027571876e-7	Medium	COG3210!!!COG3468	GC_00006764	0.6159	0	0	151	15	15
Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)!!!Threonine deaminase (IlvA) (PDB:3IAU)	38.00346217726714	5.593105890326056e-9	3.5992127027571876e-7	Medium	COG0626!!!COG1171	GC_00006599	0.6159	0	0	151	15	15
Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579)!!!Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif (Rri1) (PDB:2O95)	38.00346217726714	5.593105890326056e-9	3.5992127027571876e-7	Medium	COG0476!!!COG1310	GC_00006494, GC_00006511	0.6159	0	0	151	15	15
Metal-dependent hydrolase, beta-lactamase superfamily II (PDB:2P4Z)	37.878277089165685	5.954381245455883e-9	3.7656328290227895e-7	Small, Large	COG1237	GC_00007770, GC_00008584, GC_00016391, GC_00029602, GC_00037631	0.2252	0.6	0.9333	151	15	15
Putative copper export protein (PcoD)	37.65571125274411	6.655277910132596e-9	4.137552436333282e-7	Medium	COG1276	GC_00005938, GC_00014630, GC_00022279, GC_00026194, GC_00033868, GC_00036347, GC_00036943, GC_00039741, GC_00057204, GC_00059573, GC_00071602	0.7417	0	0.4	151	15	15
Uncharacterized conserved protein, DUF305 family (PDB:5FEJ)	37.555265343564486	6.998061381257461e-9	4.200462440222144e-7	Small, Large	COG3544	GC_00007462, GC_00007649, GC_00011029, GC_00011735, GC_00013419, GC_00016830, GC_00018314, GC_00021935, GC_00023414, GC_00024121, GC_00025370, GC_00025556, GC_00027640, GC_00027864, GC_00030739, GC_00034772, GC_00034773, GC_00037317, GC_00039018, GC_00039032, GC_00050529, GC_00065962	0.3311	0.8667	1	151	15	15
Predicted transcriptional regulator, contains HTH domain	37.52633695049311	7.100018301356949e-9	4.200462440222144e-7	Medium	COG4190	GC_00006560, GC_00027465, GC_00027758	0.6424	0	0.0667	151	15	15
Predicted helicase (PDB:5FFJ)	37.52633695049311	7.100018301356949e-9	4.200462440222144e-7	Medium	COG4889	GC_00006246, GC_00006564, GC_00038269, GC_00041191, GC_00067616	0.6424	0	0.0667	151	15	15
Cytochrome bd-type quinol oxidase, subunit 2 (AppB) (PDB:6RKO)	37.359811223993006	7.716494842224902e-9	4.4927147748064986e-7	Medium, Large	COG1294	GC_00004985, GC_00006298, GC_00007185, GC_00014891, GC_00014974, GC_00015764, GC_00021071, GC_00023715, GC_00032599, GC_00036442, GC_00037743, GC_00044748, GC_00046071, GC_00064215	0.9272	0.4	0.9333	151	15	15
Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)!!!Sensor histidine kinase WalK (WalK) (PDB:4I5S)	37.05300962394667	8.995828995545879e-9	5.155734493072232e-7	Small, Large	COG3920!!!COG5002	GC_00017723	0	0.0667	0.2667	151	15	15
Dihydroxyacetone kinase (DAK1) (PDB:1UN8)	36.73930962699906	1.0523501808461441e-8	5.938493020528703e-7	Medium, Large	COG2376	GC_00004232, GC_00005076, GC_00009336, GC_00014881, GC_00019912, GC_00037614	0.8742	0.2667	0.9333	151	15	15
Predicted glycosyltransferase	36.65450210136093	1.0979334085220479e-8	5.976653766369965e-7	Medium	COG1817	GC_00006754, GC_00027515, GC_00048288	0.6358	0	0.0667	151	15	15
Predicted branched-chain amino acid permease (azaleucine resistance) (AzlC)	36.654502101360926	1.0979334085220518e-8	5.976653766369965e-7	Small, Large	COG1296	GC_00003709, GC_00011326	0.3642	0.9333	1	151	15	15
Uncharacterized membrane protein YjgN, DUF898 family (YjgN)	36.636257877310726	1.1079947004175509e-8	5.976653766369965e-7	Small, Large	COG4269	GC_00006922	0.3377	0.8667	1	151	15	15
Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif (YecA)	36.59538170231726	1.1308729909231473e-8	6.011655261892905e-7	Small, Large	COG3318	GC_00008418, GC_00010302, GC_00013813, GC_00014759, GC_00015119, GC_00017864, GC_00018024, GC_00019216, GC_00026603, GC_00028635, GC_00030170, GC_00032712, GC_00035141, GC_00037489, GC_00039098, GC_00039328, GC_00041718, GC_00042911, GC_00050110, GC_00051240, GC_00053319, GC_00058834, GC_00059381, GC_00067892, GC_00075569	0.2185	0.6667	0.8667	151	15	15
Sulfatase maturation enzyme AslB, radical SAM superfamily (AslB) (PDB:4K37)	36.38697129114428	1.2550747070980595e-8	6.576591465193831e-7	Large	COG0641	GC_00009302, GC_00013108, GC_00017285, GC_00023382, GC_00025867, GC_00029904, GC_00034710, GC_00036308, GC_00049216, GC_00052480, GC_00060151, GC_00060521, GC_00060900, GC_00065641, GC_00067349, GC_00071606, GC_00071670, GC_00078941	0.1589	0.0667	0.8	151	15	15
Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)!!!Voltage-gated potassium channel Kch (Kch) (PDB:3FWZ)	36.03101778788681	1.4995601773451237e-8	7.747023564087202e-7	Small, Large	COG0475!!!COG1226	GC_00006953, GC_00009230, GC_00017693, GC_00026375, GC_00048264	0.3113	0.9333	0.8667	151	15	15
Chitinase, GH19 family (GH19) (PDB:1WVU) (PUBMED:17010167)!!!Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases (PGRP) (PDB:4FET)	35.80324335736856	1.6804457158282217e-8	8.412328809102082e-7	Medium	COG3179!!!COG3409	GC_00006604, GC_00037715, GC_00052716	0.6291	0	0.0667	151	15	15
REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)	35.79280044717741	1.6892430350905085e-8	8.412328809102082e-7	Medium	COG1943	GC_00003582, GC_00005550, GC_00010821, GC_00011990, GC_00028668, GC_00032176, GC_00038592, GC_00041331, GC_00048075, GC_00048624	0.8874	0.3333	0.5333	151	15	15
Uncharacterized conserved protein, DUF2384 family	35.783468091906784	1.6971437619235388e-8	8.412328809102082e-7	Medium	COG5642	GC_00006029, GC_00011485, GC_00017053, GC_00021281, GC_00033270, GC_00033271, GC_00049767	0.7483	0.0667	0.3333	151	15	15
Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC (NqrC) (PDB:4P6V)	35.74045258835042	1.734040873321926e-8	8.4806158977931e-7	Medium	COG2869	GC_00005995	0.6556	0	0.1333	151	15	15
Abortive phage infection protein AbiEi, antitoxin conponent of an AbiEi-AbiEii TA system (AbiEi) (PUBMED:24465005;29518409)	35.5252231264977	1.93106020422203e-8	9.31990635406106e-7	Medium, Large	COG5340	GC_00006392, GC_00011969, GC_00016381, GC_00016912, GC_00018764, GC_00019534, GC_00020178, GC_00021652, GC_00023801, GC_00027281, GC_00027676, GC_00039673, GC_00039710, GC_00055819, GC_00058364, GC_00058995, GC_00063458, GC_00070866, GC_00071832	0.7881	0.0667	0.7333	151	15	15
Predicted nucleic-acid-binding protein, contains PIN domain	35.48491422376411	1.9703745115554124e-8	9.334906073696709e-7	Medium	COG5611	GC_00005781, GC_00013019	0.7086	0.0667	0.2	151	15	15
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase (Cls) (PDB:1BYR)	35.42061077081234	2.034754877955123e-8	9.334906073696709e-7	Medium	COG1502	GC_00006305, GC_00006669, GC_00006688, GC_00014121, GC_00015242, GC_00018087, GC_00019019, GC_00020781, GC_00021062, GC_00021953, GC_00025185, GC_00026390, GC_00027551, GC_00032934, GC_00034423, GC_00035655, GC_00035680, GC_00039479, GC_00042303, GC_00042320, GC_00042821, GC_00043930, GC_00046551, GC_00048551, GC_00049719, GC_00052091, GC_00053750, GC_00054820, GC_00055662, GC_00055723, GC_00055986, GC_00063333, GC_00063493, GC_00064927, GC_00067170, GC_00070386, GC_00070748, GC_00078704	0.8742	0.3333	0.4667	151	15	15
Flagellin-specific chaperone FliS (FliS) (PDB:1ORJ)	35.41942026890697	2.0359664282871775e-8	9.334906073696709e-7	Small, Large	COG1516	GC_00008226	0.1192	0.2	0.7333	151	15	15
Flagellar capping protein FliD (FliD) (PDB:5FHY)	35.41942026890697	2.0359664282871775e-8	9.334906073696709e-7	Small, Large	COG1345	GC_00008224	0.1192	0.2	0.7333	151	15	15
Phosphotransferase subunit DhaM of the dihydroxyacetone kinase DhaKLM complex, contains PTS-EIIA, HPr, and PEP-utilizing domains (DhaM)	35.21534153100391	2.2546843344891947e-8	1.0024456588073774e-6	Medium, Large	COG3412	GC_00004251	0.8675	0.2667	0.9333	151	15	15
Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria) (PtsA) (PDB:1EZA)	35.21534153100391	2.2546843344891947e-8	1.0024456588073774e-6	Medium, Large	COG1080	GC_00005233, GC_00009195, GC_00018937	0.8675	0.2667	0.9333	151	15	15
PAS domain (PAS) (PDB:2MWG)	35.19984007946041	2.272227673447951e-8	1.0024456588073774e-6	Small, Large	COG2202	GC_00007266, GC_00009183, GC_00010472, GC_00012582, GC_00020165, GC_00025239, GC_00030473, GC_00036861, GC_00037752, GC_00063568	0.3444	0.9333	0.9333	151	15	15
Cytochrome bd-type quinol oxidase, subunit 1 (AppC) (PDB:5DOQ)	35.08693227203477	2.4041937492010328e-8	1.0024456588073774e-6	Medium, Large	COG1271	GC_00004621, GC_00006170, GC_00007204, GC_00012931, GC_00025144, GC_00028669, GC_00034975, GC_00035841, GC_00038180	0.9205	0.4	0.9333	151	15	15
Polygalacturonase (Pgu1) (PDB:1BHE)	35.08693227203476	2.40419374920105e-8	1.0024456588073774e-6	Large	COG5434	GC_00010538, GC_00016395, GC_00054413, GC_00054444, GC_00056484	0.0795	0.0667	0.6	151	15	15
Chitinase, GH18 family (ChiA) (PDB:1E15)	35.08626580762289	2.40499503748771e-8	1.0024456588073774e-6	Medium	COG3325	GC_00005778, GC_00077589	0.6821	0.1333	0.0667	151	15	15
5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB (McrB) (PDB:6HZ4)	35.08626580762289	2.40499503748771e-8	1.0024456588073774e-6	Medium	COG1401	GC_00006311, GC_00032546, GC_00035476, GC_00036368, GC_00038051, GC_00041315, GC_00043597, GC_00043624, GC_00046780, GC_00061642, GC_00062866, GC_00070443, GC_00071240	0.6821	0.1333	0.0667	151	15	15
Superfamily II DNA or RNA helicase, SNF2 family (HepA) (PDB:6UXV)!!!Uncharacterized protein, contains SWIM-type Zn finger domain (SWIM)	35.08626580762289	2.40499503748771e-8	1.0024456588073774e-6	Medium	COG0553!!!COG4715	GC_00005888, GC_00011774, GC_00015819	0.6821	0.1333	0.0667	151	15	15
CBS domain (CBS) (PDB:1B3O)!!!Zn-dependent protease (includes sporulation protein SpoIVFB) (SpoIVFB) (PDB:3B4R)	34.97184475177341	2.5465980439788408e-8	1.0416231229881613e-6	Medium	COG0517!!!COG1994	GC_00006443, GC_00064506	0.6225	0.0667	0	151	15	15
Uncharacterized conserved protein, DUF2304 domain	34.866996677933216	2.683662336133936e-8	1.0416231229881613e-6	Medium	COG2456	GC_00006049	0.649	0	0.1333	151	15	15
DNA/RNA endonuclease G, NUC1 (NUC1) (PDB:1G8T)	34.81484244224426	2.7545649653720456e-8	1.0416231229881613e-6	Large	COG1864	GC_00019682, GC_00048334	0.0066	0	0.2667	151	15	15
MoxR-like ATPase (MoxR) (PDB:2R44)!!!WD40 repeat (WD40) (PDB:3UVN)	34.81484244224426	2.7545649653720456e-8	1.0416231229881613e-6	Large	COG0714!!!COG2319	GC_00017372	0.0066	0	0.2667	151	15	15
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)!!!GAF domain (GAF)	34.81484244224426	2.7545649653720456e-8	1.0416231229881613e-6	Large	COG2199!!!COG2202!!!COG2203	GC_00017580	0.0066	0	0.2667	151	15	15
Replicative superfamily II helicase (BRR2) (PDB:2VA8)!!!Uncharacterized conserved protein, contains caspase domain (PDB:3UO8)	34.81484244224426	2.7545649653720456e-8	1.0416231229881613e-6	Large	COG1204!!!COG4249	GC_00017627	0.0066	0	0.2667	151	15	15
