COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Fumarylacetoacetate (FAA) hydrolase family protein (PDB:2Q18)	1.4466773919364635	0.4851298480359345	1	Small, Large	COG3970	GC_00003297	0.9536	1	1	151	15	15
Glyoxylate carboligase (Gcl)	1.4466773919364635	0.4851298480359345	1	Small, Large	COG3960	GC_00003179	0.9536	1	1	151	15	15
ABC-type phosphate transport system, permease component (PstC)	1.4466773919364635	0.4851298480359345	1	Small, Large	COG0573	GC_00003290	0.9536	1	1	151	15	15
16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (RsmA) (PDB:1QYR)	1.4466773919364635	0.4851298480359345	1	Small, Large	COG0030	GC_00003226, GC_00054880, GC_00076436	0.9536	1	1	151	15	15
Cytochrome oxidase maturation protein, CcoS/FixS family (FixS)	1.4432641420121675	0.4859584896335703	1	Small, Large	COG3197	GC_00000437, GC_00024061	0.9139	0.9333	1	151	15	15
2-iminoacetate synthase ThiH/Menaquinone biosynthesis enzymes MqnC and MqnE (ThiH) (PDB:4WCX) (PUBMED:18801996)	1.4432641420121646	0.48595848963357097	1	Medium	COG1060	GC_00013047, GC_00027986, GC_00052776, GC_00072202	0.0861	0	0.0667	151	15	15
Uncharacterized conserved protein YeaO, DUF488 family (YeaO)	1.2991505991254966	0.5222675369181564	1	Medium	COG3189	GC_00020015, GC_00020626, GC_00023571, GC_00032054, GC_00056539	0.0795	0	0.0667	151	15	15
Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain (LapB) (PDB:4ZLH) (PUBMED:24187084;24266962)!!!Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)	1.2991505991254966	0.5222675369181564	1	Medium	COG2956!!!COG4783	GC_00011071	0.0795	0	0.0667	151	15	15
Carbohydrate-selective porin OprB (OprB) (PDB:4GEY)	1.299150599125496	0.5222675369181566	1	Small, Large	COG3659	GC_00004413, GC_00004853, GC_00005080, GC_00008157, GC_00010900, GC_00016713, GC_00018687, GC_00018836, GC_00019577, GC_00024305, GC_00030181, GC_00030338, GC_00033976, GC_00051671, GC_00062864, GC_00063265, GC_00065247	0.9205	0.9333	1	151	15	15
Short-chain dehydrogenase (YqjQ)!!!Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains (YchJ) (PDB:2I9W)	1.2845980083321826	0.5260815689771688	1	Small	COG0300!!!COG3012	GC_00017988	0.0265	0.0667	0	151	15	15
Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)!!!Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	1.2845980083321826	0.5260815689771688	1	Large	COG0662!!!COG1396	GC_00026290, GC_00075493, GC_00075576	0.0265	0	0.0667	151	15	15
Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)!!!Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains (OafA)	1.2845980083321826	0.5260815689771688	1	Small	COG1216!!!COG1835	GC_00018415, GC_00027858	0.0265	0.0667	0	151	15	15
P2-like prophage tail protein X (gpX) (PDB:2LTF)	1.2845980083321826	0.5260815689771688	1	Large	COG5004	GC_00026756, GC_00059982, GC_00074902	0.0265	0	0.0667	151	15	15
Predicted nucleotidyltransferase component of viral defense system (PDB:4O8S)!!!Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains (YobV)	1.2845980083321826	0.5260815689771688	1	Large	COG2253!!!COG2378	GC_00021318, GC_00076715	0.0265	0	0.0667	151	15	15
Glutamate synthase domain 3 (GltB3) (PDB:1EA0)	1.2845980083321826	0.5260815689771688	1	Small	COG0070	GC_00018738	0.0265	0.0667	0	151	15	15
Kojibiose phosphorylase YcjT (ATH1) (PDB:1H54) (PUBMED:29684280)	1.2845980083321826	0.5260815689771688	1	Large	COG1554	GC_00018876, GC_00055679, GC_00064610, GC_00066293	0.0265	0	0.0667	151	15	15
Anion-transporting ATPase, ArsA/GET3 family (ArsA) (PDB:1F48)	1.2845980083321826	0.5260815689771688	1	Small	COG0003	GC_00018859, GC_00047121	0.0265	0.0667	0	151	15	15
Thiol:disulfide interchange protein DsbD (DsbD) (PDB:1JPE)!!!Thiol-disulfide interchange protein, contains DsbC and DsbD domains	1.2845980083321826	0.5260815689771688	1	Large	COG4232!!!COG4233	GC_00017056, GC_00045856	0.0265	0	0.0667	151	15	15
Phage-related baseplate assembly protein (PDB:5CES)	1.2845980083321826	0.5260815689771688	1	Large	COG3948	GC_00026238, GC_00055500, GC_00072275	0.0265	0	0.0667	151	15	15
RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)!!!Signal transduction histidine kinase (BaeS) (PDB:1JOY)	1.2845980083321826	0.5260815689771688	1	Large	COG0467!!!COG0642	GC_00018492	0.0265	0	0.0667	151	15	15
Lysozyme family protein (ZliS) (PDB:2IKB)	1.2845980083321826	0.5260815689771688	1	Large	COG3926	GC_00037198, GC_00044398, GC_00052567, GC_00075307	0.0265	0	0.0667	151	15	15
Chromosome segregation ATPase Smc (Smc) (PDB:5XG3)!!!Methylase of chemotaxis methyl-accepting proteins (CheR) (PDB:1AF7)!!!Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O)!!!Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)	1.2845980083321826	0.5260815689771688	1	Large	COG1196!!!COG1352!!!COG2201!!!COG3920	GC_00021782, GC_00031133	0.0265	0	0.0667	151	15	15
Predicted transcriptional regulator	1.2845980083321826	0.5260815689771688	1	Large	COG1395	GC_00018022	0.0265	0	0.0667	151	15	15
Periplasmic component TolB of the Tol biopolymer transport system (TolB) (PDB:1C5K)!!!WD40 repeat (WD40) (PDB:3UVN)!!!ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT (MalT)	1.2845980083321826	0.5260815689771688	1	Large	COG0823!!!COG2319!!!COG2909	GC_00022021, GC_00050895	0.0265	0	0.0667	151	15	15
DNA-directed RNA polymerase specialized sigma subunit (FliA) (PDB:1RP3)	1.2845980083321826	0.5260815689771688	1	Large	COG1191	GC_00018942	0.0265	0	0.0667	151	15	15
Predicted nucleotidyltransferase YcgL (YcgL)	1.2845980083321826	0.5260815689771688	1	Large	COG3541	GC_00020661, GC_00057263	0.0265	0	0.0667	151	15	15
Membrane-bound lytic murein transglycosylase MltF (MltF) (PDB:4OWD)	1.2845980083321826	0.5260815689771688	1	Large	COG4623	GC_00018653	0.0265	0	0.0667	151	15	15
Zn-dependent peptidase ImmA, M78 family (ImmA) (PDB:3DTE)!!!Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)	1.2845980083321826	0.5260815689771688	1	Large	COG2856!!!COG3093	GC_00024026, GC_00065311, GC_00078399	0.0265	0	0.0667	151	15	15
NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)	1.2845980083321826	0.5260815689771688	1	Small	COG0493!!!COG1902	GC_00020314, GC_00068556	0.0265	0.0667	0	151	15	15
Uncharacterized conserved protein YegL, contains vWA domain of TerY type (TerY)	1.2845980083321826	0.5260815689771688	1	Large	COG4245	GC_00021807, GC_00044421	0.0265	0	0.0667	151	15	15
Predicted membrane chloride channel, bestrophin family (YneE) (PDB:4RDQ)	1.2845980083321826	0.5260815689771688	1	Large	COG3781	GC_00019680, GC_00063260	0.0265	0	0.0667	151	15	15
Uncharacterized metalloenzyme YdcJ, glyoxalase superfamily (YdcJ) (PDB:2RJB)	1.2845980083321826	0.5260815689771688	1	Large	COG5383	GC_00018509, GC_00050559	0.0265	0	0.0667	151	15	15
