COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Transcription!!!Defense mechanisms	20.424358125595223	3.6720364609905955e-5	2.942403394125484e-4	Medium	K!!!V	GC_00005774, GC_00005874, GC_00011448, GC_00012766, GC_00026634	0.7947	0.4667	0.3333	151	15	15
Cell wall/membrane/envelope biogenesis!!!Carbohydrate transport and metabolism!!!Cell wall/membrane/envelope biogenesis!!!General function prediction only	20.39461991703189	3.727044299225613e-5	2.942403394125484e-4	Small, Large	M!!!G!!!M!!!R	GC_00010440	0.0464	0.3333	0.2667	151	15	15
Cell motility!!!Extracellular structures!!!General function prediction only	20.291940220319358	3.9233871704927806e-5	3.0440072874512953e-4	Small, Large	N!!!W!!!R	GC_00007083, GC_00011009, GC_00013990, GC_00020168, GC_00036174, GC_00037590, GC_00041961	0.3377	0.6667	0.8667	151	15	15
Replication, recombination and repair!!!General function prediction only	19.462177502435882	5.9407578757877515e-5	4.5310865154313354e-4	Medium	L!!!R	GC_00006296, GC_00006561, GC_00006637, GC_00009501, GC_00015038, GC_00017627, GC_00041465, GC_00055234, GC_00067893	0.7483	0.2	0.6667	151	15	15
Carbohydrate transport and metabolism!!!Amino acid transport and metabolism	19.426322070066227	6.048222516423454e-5	4.53616688731759e-4	Small, Large	G!!!E	GC_00007471, GC_00014674, GC_00030761	0.2119	0.3333	0.7333	151	15	15
Translation, ribosomal structure and biogenesis!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism	19.255389096128344	6.587875518219358e-5	4.859908169178215e-4	Medium	J!!!Q!!!Q	GC_00004864, GC_00006160, GC_00006236, GC_00012274, GC_00013939, GC_00024928, GC_00028480, GC_00029290, GC_00039130, GC_00039359, GC_00039611, GC_00039612	0.7351	0.2	0.5333	151	15	15
Transcription!!!Replication, recombination and repair	18.856859558637368	8.040535501616448e-5	5.835872541495809e-4	Medium, Large	K!!!L	GC_00004564, GC_00006460, GC_00006747, GC_00015632, GC_00016508, GC_00021965, GC_00024473, GC_00024810, GC_00024976, GC_00025396, GC_00026081, GC_00030476, GC_00030691, GC_00032561, GC_00032590, GC_00033443, GC_00034179, GC_00035333, GC_00035967, GC_00036055, GC_00036173, GC_00036299, GC_00036905, GC_00037272, GC_00037612, GC_00038403, GC_00040330, GC_00040853, GC_00041875, GC_00047734, GC_00056239, GC_00056243, GC_00057109, GC_00057375, GC_00058559, GC_00059092, GC_00059218, GC_00059315, GC_00061122, GC_00061624, GC_00061774, GC_00063135, GC_00064474, GC_00067541, GC_00069607, GC_00069871, GC_00071857, GC_00073733, GC_00075930, GC_00078996, GC_00079207	0.9272	0.6	1	151	15	15
Transcription!!!Energy production and conversion	18.556594730608033	9.343006538751228e-5	6.67357609910802e-4	Small, Large	K!!!C	GC_00008004, GC_00013823, GC_00017292, GC_00024630, GC_00038094, GC_00051242, GC_00059740	0.2185	0.2667	0.7333	151	15	15
Amino acid transport and metabolism!!!General function prediction only!!!Replication, recombination and repair	18.318206216050367	1.0525726011927624e-4	7.400901102136611e-4	Small, Large	E!!!R!!!L	GC_00007062, GC_00020430, GC_00027769, GC_00054435	0.1722	0.5333	0.5333	151	15	15
Transcription!!!Replication, recombination and repair!!!Replication, recombination and repair	18.181958115367888	1.1267769653697143e-4	7.800763606405714e-4	Large	K!!!L!!!L	GC_00033742, GC_00034305, GC_00047148	0.0132	0	0.2	151	15	15
Mobilome: prophages, transposons!!!Defense mechanisms	18.06676100977267	1.1935831901989721e-4	8.138067205902082e-4	Small, Large	X!!!V	GC_00006932, GC_00007422, GC_00007440, GC_00007807, GC_00008198, GC_00010258, GC_00010522, GC_00010534, GC_00011199, GC_00011567, GC_00011574, GC_00011980, GC_00012562, GC_00017220, GC_00022342, GC_00022394, GC_00022409, GC_00022418, GC_00023968, GC_00028361, GC_00028398, GC_00028452, GC_00038588, GC_00038627, GC_00040947, GC_00047639, GC_00048430	0.3046	0.6	0.8	151	15	15
Signal transduction mechanisms!!!Secondary metabolites biosynthesis, transport and catabolism	17.45968676769587	1.616877771601141e-4	0.001085962682418677	Large	T!!!Q	GC_00010214, GC_00033675	0.0795	0	0.4	151	15	15
Lipid transport and metabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	17.42048850118602	1.648879755685909e-4	0.0010911704265568515	Medium	I!!!I!!!Q	GC_00004411, GC_00012014, GC_00012805, GC_00016840, GC_00018495, GC_00034550, GC_00038181, GC_00041809, GC_00045217, GC_00047761, GC_00053411, GC_00056941, GC_00070406	0.9139	0.6	0.6667	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!General function prediction only!!!Signal transduction mechanisms	17.374025325626956	1.6876342719510194e-4	0.0011006310469245779	Medium, Large	T!!!T!!!T!!!R!!!T	GC_00000185, GC_00010868, GC_00011420, GC_00015219, GC_00020523, GC_00021365, GC_00021520, GC_00023096, GC_00024268, GC_00029664, GC_00030861, GC_00031933, GC_00034722, GC_00038794, GC_00039162, GC_00039163, GC_00039165, GC_00039166, GC_00039168, GC_00039350, GC_00046513	0.8874	0.5333	1	151	15	15
Energy production and conversion!!!Energy production and conversion!!!Nucleotide transport and metabolism!!!Defense mechanisms	16.792136528043773	2.2575318346887082e-4	0.0014512704651570268	Medium, Large	C!!!C!!!F!!!V	GC_00004235	0.8212	0.4	0.9333	151	15	15
General function prediction only!!!Signal transduction mechanisms!!!General function prediction only	16.756804538262482	2.2977677377537665e-4	0.001456331664773514	Small, Large	R!!!T!!!R	GC_00021323, GC_00030738, GC_00038319, GC_00067589, GC_00069129	0.0265	0.0667	0.2667	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms	16.603416419504903	2.480926706175047e-4	0.0015505791913594045	Large	T!!!T!!!T!!!T!!!T	GC_00007819	0.1656	0.1333	0.6	151	15	15
Translation, ribosomal structure and biogenesis!!!Cell wall/membrane/envelope biogenesis!!!Signal transduction mechanisms	16.522329733068496	2.5835786344029465e-4	0.0015863027126523878	Small, Large	J!!!M!!!T	GC_00011887, GC_00019157, GC_00071544	0.0596	0.3333	0.2667	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Energy production and conversion!!!Inorganic ion transport and metabolism	16.503063596122953	2.608586683028371e-4	0.0015863027126523878	Large	O!!!C!!!P	GC_00009984	0.0728	0.0667	0.4	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms	15.696941116990079	3.9034852717433917e-4	0.002342091163046035	Small	T!!!T!!!K!!!T!!!T	GC_00014154, GC_00015003, GC_00028897, GC_00063254, GC_00075783	0.0596	0.3333	0	151	15	15
Cell wall/membrane/envelope biogenesis!!!Carbohydrate transport and metabolism!!!Coenzyme transport and metabolism!!!Cell wall/membrane/envelope biogenesis!!!Cell cycle control, cell division, chromosome partitioning	15.421986683180943	4.4787636187738764e-4	0.002651899511116111	Small, Large	M!!!G!!!H!!!M!!!D	GC_00016891	0.0132	0.2	0.0667	151	15	15
Coenzyme transport and metabolism!!!Cell motility!!!Extracellular structures!!!Posttranslational modification, protein turnover, chaperones	15.019456274083833	5.477299759662418e-4	0.003201019340062452	Medium	H!!!N!!!W!!!O	GC_00005664, GC_00015929	0.6755	0.3333	0.2667	151	15	15
Transcription!!!Posttranslational modification, protein turnover, chaperones	14.811105649070226	6.078679880231228e-4	0.0035069307001334006	Small, Large	K!!!O	GC_00015835, GC_00018426, GC_00019803, GC_00023105, GC_00029518, GC_00033026, GC_00033700, GC_00035298, GC_00038065, GC_00044914, GC_00061867	0.0993	0.4	0.3333	151	15	15
Translation, ribosomal structure and biogenesis!!!Lipid transport and metabolism	14.547781064940827	6.934090088797757e-4	0.003949798151846823	Small, Large	J!!!I	GC_00012884, GC_00021948	0.0331	0.2667	0.1333	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Intracellular trafficking, secretion, and vesicular transport	14.418501712043163	7.397110980604134e-4	0.004160874926589826	Large	Q!!!U	GC_00014320, GC_00016976, GC_00032196, GC_00061466	0.0397	0	0.2667	151	15	15
Lipid transport and metabolism!!!Function unknown	14.287096220323045	7.899443088130028e-4	0.004388579493405571	Large	I!!!S	GC_00021417, GC_00026229, GC_00026929, GC_00027589, GC_00042961, GC_00048021, GC_00059221, GC_00061141, GC_00071032, GC_00077550	0.0662	0	0.3333	151	15	15
Amino acid transport and metabolism!!!Amino acid transport and metabolism!!!Lipid transport and metabolism	14.176129246983773	8.350118651182783e-4	0.004582382186624698	Small, Large	E!!!E!!!I	GC_00010125	0.0596	0.2	0.3333	151	15	15
Carbohydrate transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	13.792437491841678	0.0010116033355011963	0.005484596397295642	Small, Large	G!!!Q	GC_00009364, GC_00014571, GC_00038197, GC_00056627, GC_00063712, GC_00074796, GC_00075326, GC_00078521	0.0861	0.3333	0.3333	151	15	15
