COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Transcription!!!Transcription	0.19978019984451809	0.9049368652030703	1	Small, Large	K!!!K	GC_00002868, GC_00012789, GC_00036751, GC_00051423	0.9934	1	1	151	15	15
Amino acid transport and metabolism!!!General function prediction only!!!Energy production and conversion!!!General function prediction only	0.19978019984451809	0.9049368652030703	1	Small, Large	E!!!R!!!C!!!R	GC_00002887	0.9934	1	1	151	15	15
Posttranslational modification, protein turnover, chaperones!!!General function prediction only	0.19978019984451809	0.9049368652030703	1	Small, Large	O!!!R	GC_00003326, GC_00005353, GC_00011228, GC_00014612, GC_00015441, GC_00015594, GC_00018217, GC_00025772, GC_00026775, GC_00032064, GC_00034280, GC_00034348, GC_00040747, GC_00043788, GC_00048113, GC_00054596, GC_00057903, GC_00069957, GC_00076809	0.9934	1	1	151	15	15
Coenzyme transport and metabolism!!!Amino acid transport and metabolism	0.19978019984451809	0.9049368652030703	1	Small, Large	H!!!E	GC_00002678, GC_00017674, GC_00059983	0.9934	1	1	151	15	15
Intracellular trafficking, secretion, and vesicular transport!!!General function prediction only	0.19978019984451809	0.9049368652030703	1	Small, Large	U!!!R	GC_00005457, GC_00006768, GC_00007133, GC_00014672, GC_00021213, GC_00023703, GC_00024405, GC_00026055, GC_00028968, GC_00032172, GC_00032374, GC_00042813, GC_00042814, GC_00042815, GC_00043258, GC_00054697, GC_00061733	0.9934	1	1	151	15	15
Cell wall/membrane/envelope biogenesis!!!Mobilome: prophages, transposons	0.19978019984451445	0.9049368652030719	1	Medium	M!!!X	GC_00045882	0.0066	0	0	151	15	15
Cell wall/membrane/envelope biogenesis!!!Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones	0.19978019984451445	0.9049368652030719	1	Medium	M!!!C!!!O	GC_00062450	0.0066	0	0	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Coenzyme transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	Q!!!H!!!Q!!!Q	GC_00073736	0.0066	0	0	151	15	15
Cell motility!!!Extracellular structures!!!Function unknown!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	0.19978019984451445	0.9049368652030719	1	Medium	N!!!W!!!S!!!U!!!W	GC_00047897	0.0066	0	0	151	15	15
Lipid transport and metabolism!!!Lipid transport and metabolism!!!Energy production and conversion!!!General function prediction only!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	I!!!I!!!C!!!R!!!I!!!Q	GC_00052041	0.0066	0	0	151	15	15
General function prediction only!!!Cell wall/membrane/envelope biogenesis!!!Cell motility!!!Extracellular structures	0.19978019984451445	0.9049368652030719	1	Medium	R!!!M!!!N!!!W	GC_00078884	0.0066	0	0	151	15	15
Lipid transport and metabolism!!!General function prediction only!!!Lipid transport and metabolism	0.19978019984451445	0.9049368652030719	1	Medium	I!!!R!!!I	GC_00077263	0.0066	0	0	151	15	15
Cell cycle control, cell division, chromosome partitioning!!!Cytoskeleton	0.19978019984451445	0.9049368652030719	1	Medium	D!!!Z	GC_00051569	0.0066	0	0	151	15	15
Nucleotide transport and metabolism!!!Carbohydrate transport and metabolism	0.19978019984451445	0.9049368652030719	1	Medium	F!!!G	GC_00072766	0.0066	0	0	151	15	15
Amino acid transport and metabolism!!!Posttranslational modification, protein turnover, chaperones	0.19978019984451445	0.9049368652030719	1	Medium	E!!!O	GC_00048481	0.0066	0	0	151	15	15
Amino acid transport and metabolism!!!Nucleotide transport and metabolism!!!Translation, ribosomal structure and biogenesis!!!Cell wall/membrane/envelope biogenesis	0.19978019984451445	0.9049368652030719	1	Medium	E!!!F!!!J!!!M	GC_00064939	0.0066	0	0	151	15	15
Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	0.19978019984451445	0.9049368652030719	1	Medium	M!!!U!!!W	GC_00073742	0.0066	0	0	151	15	15
Coenzyme transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	H!!!Q!!!Q	GC_00040905	0.0066	0	0	151	15	15
Coenzyme transport and metabolism!!!General function prediction only!!!Cell wall/membrane/envelope biogenesis	0.19978019984451445	0.9049368652030719	1	Medium	H!!!R!!!M	GC_00063132	0.0066	0	0	151	15	15
Nucleotide transport and metabolism!!!Cell cycle control, cell division, chromosome partitioning	0.19978019984451445	0.9049368652030719	1	Medium	F!!!D	GC_00044994	0.0066	0	0	151	15	15
Signal transduction mechanisms!!!Translation, ribosomal structure and biogenesis!!!Cell wall/membrane/envelope biogenesis	0.19978019984451445	0.9049368652030719	1	Medium	T!!!J!!!M	GC_00078823	0.0066	0	0	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Signal transduction mechanisms!!!Signal transduction mechanisms	0.19978019984451445	0.9049368652030719	1	Medium	O!!!T!!!T	GC_00054630	0.0066	0	0	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Signal transduction mechanisms!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	O!!!T!!!R	GC_00053828	0.0066	0	0	151	15	15
Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	J!!!O!!!R	GC_00058260	0.0066	0	0	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Function unknown	0.19978019984451445	0.9049368652030719	1	Medium	Q!!!S	GC_00073212	0.0066	0	0	151	15	15
Function unknown!!!Cell wall/membrane/envelope biogenesis	0.19978019984451445	0.9049368652030719	1	Medium	S!!!M	GC_00068061	0.0066	0	0	151	15	15
General function prediction only!!!Coenzyme transport and metabolism!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	R!!!H!!!R	GC_00041457	0.0066	0	0	151	15	15
Nucleotide transport and metabolism!!!Defense mechanisms!!!General function prediction only!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	F!!!V!!!R!!!Q	GC_00046049	0.0066	0	0	151	15	15
Energy production and conversion!!!Inorganic ion transport and metabolism!!!Energy production and conversion	0.19978019984451445	0.9049368652030719	1	Medium	C!!!P!!!C	GC_00072117	0.0066	0	0	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Coenzyme transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	Q!!!H!!!Q	GC_00054663	0.0066	0	0	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	T!!!T!!!R	GC_00059682	0.0066	0	0	151	15	15
Energy production and conversion!!!Function unknown	0.19978019984451445	0.9049368652030719	1	Medium	C!!!S	GC_00063782	0.0066	0	0	151	15	15
Carbohydrate transport and metabolism!!!Transcription!!!Transcription	0.19978019984451445	0.9049368652030719	1	Medium	G!!!K!!!K	GC_00071893	0.0066	0	0	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	0.19978019984451445	0.9049368652030719	1	Medium	O!!!U!!!W	GC_00043546	0.0066	0	0	151	15	15
Carbohydrate transport and metabolism!!!Cell wall/membrane/envelope biogenesis!!!Cell cycle control, cell division, chromosome partitioning!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	G!!!M!!!D!!!R	GC_00070214	0.0066	0	0	151	15	15
Lipid transport and metabolism!!!General function prediction only!!!Energy production and conversion!!!General function prediction only!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	I!!!R!!!C!!!R!!!Q	GC_00042164	0.0066	0	0	151	15	15
Replication, recombination and repair!!!Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism	0.19978019984451445	0.9049368652030719	1	Medium	L!!!Q!!!I	GC_00062476	0.0066	0	0	151	15	15
Carbohydrate transport and metabolism!!!Function unknown!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	G!!!S!!!R	GC_00055578	0.0066	0	0	151	15	15
Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms	0.19978019984451445	0.9049368652030719	1	Medium	T!!!K!!!T!!!T!!!T	GC_00057020	0.0066	0	0	151	15	15
Carbohydrate transport and metabolism!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	G!!!R	GC_00049831	0.0066	0	0	151	15	15
Lipid transport and metabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	I!!!I!!!Q!!!Q!!!I!!!Q!!!R	GC_00068996	0.0066	0	0	151	15	15
General function prediction only!!!Lipid transport and metabolism!!!Energy production and conversion!!!General function prediction only!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	R!!!I!!!C!!!R!!!Q	GC_00042165	0.0066	0	0	151	15	15
Cell cycle control, cell division, chromosome partitioning!!!Cytoskeleton!!!General function prediction only	0.19978019984451445	0.9049368652030719	1	Medium	D!!!Z!!!R	GC_00057833	0.0066	0	0	151	15	15
Lipid transport and metabolism!!!Energy production and conversion!!!General function prediction only!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	I!!!C!!!R!!!Q	GC_00058422	0.0066	0	0	151	15	15
Function unknown!!!Signal transduction mechanisms!!!General function prediction only!!!Posttranslational modification, protein turnover, chaperones!!!Signal transduction mechanisms	0.19978019984451445	0.9049368652030719	1	Medium	S!!!T!!!R!!!O!!!T	GC_00068439	0.0066	0	0	151	15	15
General function prediction only!!!Cell motility!!!Extracellular structures	0.19978019984451445	0.9049368652030719	1	Medium	R!!!N!!!W	GC_00064790	0.0066	0	0	151	15	15
Intracellular trafficking, secretion, and vesicular transport!!!Cell wall/membrane/envelope biogenesis	0.19978019984451445	0.9049368652030719	1	Medium	U!!!M	GC_00061235	0.0066	0	0	151	15	15
Intracellular trafficking, secretion, and vesicular transport!!!Intracellular trafficking, secretion, and vesicular transport	0.19978019984451445	0.9049368652030719	1	Medium	U!!!U	GC_00057746	0.0066	0	0	151	15	15
General function prediction only!!!Nucleotide transport and metabolism	0.19978019984451445	0.9049368652030719	1	Medium	R!!!F	GC_00069785	0.0066	0	0	151	15	15
Translation, ribosomal structure and biogenesis!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0.19978019984451445	0.9049368652030719	1	Medium	J!!!I!!!Q!!!I!!!Q	GC_00078596	0.0066	0	0	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms	0.19978019984451445	0.9049368652030719	1	Medium	T!!!T!!!K!!!T!!!T!!!T	GC_00046276	0.0066	0	0	151	15	15
Carbohydrate transport and metabolism!!!Defense mechanisms	0.19978019984451445	0.9049368652030719	1	Medium	G!!!V	GC_00067193	0.0066	0	0	151	15	15
Cell wall/membrane/envelope biogenesis!!!Secondary metabolites biosynthesis, transport and catabolism!!!Function unknown	0.19978019984451445	0.9049368652030719	1	Medium	M!!!Q!!!S	GC_00054901	0.0066	0	0	151	15	15
Coenzyme transport and metabolism!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	0.19978019984451445	0.9049368652030719	1	Medium	H!!!U!!!W	GC_00042720	0.0066	0	0	151	15	15
Mobilome: prophages, transposons!!!Function unknown	0.19079538768674237	0.9090113543547232	1	Small, Large	X!!!S	GC_00025503, GC_00027162, GC_00027559, GC_00030949, GC_00033979, GC_00034891, GC_00037600, GC_00039319, GC_00039459, GC_00045496, GC_00046258, GC_00054813, GC_00060624, GC_00061754, GC_00068678, GC_00069175	0.106	0.1333	0.1333	151	15	15
Replication, recombination and repair!!!Signal transduction mechanisms	7.880838252944494e-5	0.9999605965850702	1	Small, Large	L!!!T	GC_00013796, GC_00025327, GC_00037288	0.0662	0.0667	0.0667	151	15	15
Transcription!!!Translation, ribosomal structure and biogenesis	0	1	1	NA	K!!!J	GC_00002127, GC_00033588, GC_00070342	1	1	1	151	15	15
Nucleotide transport and metabolism!!!Cell wall/membrane/envelope biogenesis	0	1	1	NA	F!!!M	GC_00002357, GC_00003762, GC_00016520, GC_00023319, GC_00023320, GC_00036898, GC_00037700, GC_00044934, GC_00079100	1	1	1	151	15	15
