"catalogID","Latitude","Longitude","Evaporation - annual mean","Evaporation - average","Humidity - annual mean relative 3pm","Aridity index - annual mean","Precipitation - annual","Precipitation - annual mean","WorldClim: Precipitation - annual","WorldClim: Precipitation - coldest quarter","WorldClim: Precipitation - driest month","WorldClim: Precipitation - driest quarter","WorldClim: Precipitation - seasonality","WorldClim: Precipitation - warmest quarter","WorldClim: Precipitation - wettest month","WorldClim: Precipitation - wettest quarter","Temperature - annual max mean","Temperature - annual min mean","WorldClim: Temperature - annual mean","WorldClim: Temperature - annual range","WorldClim: Temperature - coldest month min","WorldClim: Temperature - coldest quarter mean","WorldClim: Temperature - diurnal range mean","WorldClim: Temperature - driest quarter mean","WorldClim: Temperature - isothermality","WorldClim: Temperature - seasonality","WorldClim: Temperature - warmest month max","WorldClim: Temperature - warmest quarter mean","WorldClim: Temperature - wettest quarter mean","Lithology - mean age","Carbon - organic","Lithology - fertility","Nutrient status","Gross Primary Productivity","NDVI Mean","Fraction of Photosynthetically Active Radiation","NPP Mean"
9498,-34.57692,139.0061,132.88918,16239,68.508484,0.6849794,50.345,50.345,765,307,26,83,48,85,112,307,20.009167,9.031667,131,242,30,77,121,187,50,4353,272,187,77,2.7119336,1.3921055,4,1.15,0.021,62,49,5
9500,-34.6831,138.9086,144.17833,13253,67.54478,0.6002394,49.876667,49.876667,712,293,21,69,51,69,106,293,21.4625,9.876667,142,240,40,88,120,196,50,4263,280,196,88,2.9193397,1.1207322,2,1.15,0.0196,63,44,5
9502,-34.88076,138.7083,146.77917,17660,70.41414,0.54322565,48.07,48.07,684,271,21,70,47,70,99,273,22.111668,11.459167,154,225,58,102,110,206,48,4081,283,206,110,2.8692317,1.6212444,6,1.05,0.0146,79,41,15
9504,-34.93343,138.727,133.23416,15032,74.22576,0.9361207,71.09167,71.09167,1064,437,32,107,50,107,167,437,19.555834,9.793333,133,224,40,82,111,183,49,3982,264,183,82,2.8692317,1.3990324,6,1.05,0.0453,79,88,15
9506,-32.32096,137.9544,183.24167,11224,60.995728,0.27623996,35.815834,35.815834,464,165,22,68,36,68,59,170,22.676666,9.854166,152,281,23,83,135,216,48,5337,304,219,92,2.9193397,0.89360714,6,1.3,0.0118,50,33,3
9508,-30.77565,138.7976,191.18959,7798,57.602386,0.19943671,27.2975,27.2975,377,110,24,78,18,93,41,115,22.440834,9.935,153,310,6,74,143,188,46,6084,316,229,82,2.9273703,0.7409781,3,1.15,0.0103,40,37,3
9510,-31.32774,138.5673,196.29,7347,57.670326,0.16687742,23.583332,23.583332,295,91,18,57,24,66,36,101,24.995,11.366667,179,305,33,103,144,212,47,5857,338,252,111,2.9273703,0.5551513,3,1.3,0.01,35,28,3
9512,-31.54388,138.5946,196.94458,10013,58.7771,0.19770707,27.8075,27.8075,441,156,20,74,36,83,57,169,23.68,10.14,157,304,15,82,144,201,47,5835,319,231,90,2.9273703,0.9457591,3,1.3,0.0134,51,33,5
9514,-33.97432,140.7258,153.59209,6364,59.42048,0.17189583,18.12,18.12,259,71,16,52,17,53,27,76,25.745834,11.509167,172,283,44,107,141,232,49,5000,327,235,141,0.11193429,0.44410422,6,1.2,0.0079,29,29,4
9522,-33.97274,140.7273,153.59209,6364,59.42048,0.17189583,18.12,18.12,259,71,16,52,17,53,27,76,25.745834,11.509167,172,283,44,107,141,232,49,5000,327,235,141,0.11193429,0.44410422,6,1.2,0.0079,31,29,4
9524,-34.01891,140.7095,153.69292,6390,59.455406,0.1707274,17.963333,17.963333,252,69,15,51,17,52,27,75,25.784166,11.51,173,282,46,109,141,233,50,4992,328,237,142,-1.1502736,0.46731696,2,1.2,0.0084,27,29,3
9526,-34.04459,140.7615,154.26083,6141,59.45723,0.16896158,17.860834,17.860834,254,70,15,51,17,52,27,76,25.813334,11.635,173,281,47,109,141,233,50,4980,328,237,142,0.11193429,0.6183269,6,1.85,0.008,30,29,4
9528,-34.04319,140.7596,154.2275,6141,59.56403,0.16883783,17.838333,17.838333,254,70,15,51,17,52,27,76,25.8225,11.6241665,173,281,47,109,141,233,50,4980,328,237,142,0.11193429,0.6148812,6,1.85,0.0105,30,38,4
9530,-33.9569,140.7186,152.83167,6364,59.542732,0.17681427,18.481667,18.481667,260,71,16,53,16,54,27,76,25.618334,11.403334,171,282,45,107,141,232,50,4987,327,235,140,-1.1502736,0.43428808,2,1.2,0.0105,33,37,4
9567,-41.532403,145.895516,81.99958,16097,87.64206,2.8888752,162.41,162.41,2108,724,88,303,31,303,262,724,12.481667,4.2725,74,172,3,36,83,113,48,3013,175,113,36,0.11193429,8.05424,10,0.85,0.0574,69,87,13
9569,-41.533383,145.895516,81.99958,16097,87.64206,2.8888752,162.41,162.41,2113,725,89,304,31,304,262,725,12.481667,4.2725,74,172,3,36,83,113,48,3013,175,113,36,0.11193429,8.05424,10,0.85,0.0574,69,87,13
9571,-41.555433,145.881418,81.94458,15486,87.99329,2.9289804,165.13834,165.13834,2115,723,89,305,31,305,261,723,12.475,4.246667,75,173,4,37,83,115,47,3053,177,115,37,0.11193429,7.2195225,3,0.85,0.0543,71,83,13
9573,-42.041572,146.299029,77.45959,15453,85.748085,2.0260723,109.465004,109.465004,1552,477,68,250,24,250,173,498,11.830833,2.8558333,61,180,-13,20,86,101,47,3172,167,101,24,0.11193429,4.4013853,3,0.9,0.0278,67,38,7
9576,-42.0436,146.3034,78.2225,15453,85.39024,1.9556464,106.95334,106.95334,1534,470,68,248,24,248,171,492,11.965834,2.9008334,61,180,-13,20,86,101,47,3177,167,101,24,0.11193429,4.0450153,3,0.9,0.0278,67,38,7
9586,-41.183047,148.029095,81.06834,18129,84.19814,2.1752474,111.73333,111.73333,1361,449,65,228,26,228,163,449,13.975,6.1241665,90,177,11,50,87,129,49,3076,188,129,50,2.5926208,4.874375,4,1.85,0.0655,86,91,16
9588,-41.183515,148.032013,83.871666,18129,82.75536,1.9449545,106.089165,106.089165,1371,452,65,230,26,230,164,452,14.7508335,6.5958333,89,177,10,49,87,128,49,3090,187,128,49,2.5926208,5.027899,4,1.85,0.0655,86,91,16
10714,-34.0597,140.6958,153.6825,6330,59.569416,0.1711024,17.925833,17.925833,254,70,15,51,17,52,27,76,25.779167,11.498333,173,280,47,110,141,232,50,4915,327,236,142,-1.1502736,0.43524462,2,1.4,0.0073,32,24,3
10716,-34.05624,140.7354,154.105,6154,59.57555,0.16919672,17.826666,17.826666,254,70,15,51,17,52,27,76,25.821667,11.595,173,281,47,109,141,233,50,4964,328,237,142,0.11193429,0.5664774,6,1.85,0.0105,28,36,3
10718,-34.03715,140.7064,153.865,6390,59.5728,0.16980304,17.870834,17.870834,254,70,15,51,17,52,27,76,25.81,11.53,173,281,47,109,141,233,50,4971,328,237,142,-1.1502736,0.46817768,2,1.4,0.0089,28,31,2
10720,-33.9556,140.719,152.83167,6364,59.542732,0.17681427,18.481667,18.481667,260,71,16,53,16,54,27,76,25.618334,11.403334,171,282,45,107,141,232,50,4987,327,235,140,-1.1502736,0.43428808,2,1.2,0.0105,33,37,4
12424,-42.1074,148.3395,90.26583,14282,79.23038,0.7109051,50.808334,50.808334,713,189,48,152,15,152,79,196,18.659166,9.71,130,168,47,94,92,163,54,2680,215,163,139,2.5708346,2.1985028,4.333333,1.1,0.0256,67,45,4
12426,-42.106246,148.340808,87.28291,14282,79.57383,0.803581,54.741188,54.741188,713,189,48,152,15,152,79,196,17.970476,9.119881,130,168,47,94,92,163,54,2680,215,163,139,2.5708346,2.2180383,4.571429,1.1,0.0256,67,45,4
12428,-42.105769,148.336683,90.26583,14282,79.23038,0.7109051,50.808334,50.808334,713,189,48,152,15,152,79,196,18.659166,9.71,130,168,47,94,92,163,54,2680,215,163,139,2.5708346,2.1985028,4.333333,1.1,0.0582,67,80,12
12430,-42.1685,148.2641,87.82375,13830,79.49602,0.7326744,50.3425,50.3425,684,180,46,145,15,145,76,190,18.381666,9.2475,129,171,45,93,94,164,54,2742,216,164,139,2.5818644,90.15538,4,1.1,0,70,46,0
12432,-42.1738,148.2791,87.05462,14282,79.43768,0.7699176,52.32763,52.32763,715,191,48,152,15,152,78,196,18.067564,9.085577,127,171,43,90,93,161,54,2728,214,161,136,1.7585543,66.45424,3.454545,1.1,0.0223,80,49,11
12434,-42.173,148.2851,89.34917,13830,79.43768,0.69582224,49.0825,49.0825,696,185,47,148,15,148,77,192,18.626667,9.54,129,171,45,93,93,163,54,2731,216,163,138,0.11193429,96.164536,2,1.1,0.0223,80,49,11
12438,-42.0578,148.3021,88.191246,13961,78.92278,0.76285607,52.642082,52.642082,715,187,48,153,15,153,80,197,18.419582,9.318958,130,169,47,94,93,164,55,2712,216,164,139,2.52852,-9864.656,4,1.1,0.0274,71,56,18
12444,-42.6831,146.6099,69.60792,15182,87.448494,2.3566797,111.16167,111.16167,1448,383,72,258,19,258,151,427,11.144167,3.1558332,57,168,-12,17,78,97,46,3097,156,97,34,2.2369149,4.2984033,10,0.9,0.0278,63,12,5
12446,-42.6735,146.625,69.5175,15182,87.61151,2.3230536,109.7175,109.7175,1425,378,73,259,18,259,145,416,10.956667,3.0375,52,165,-15,13,76,92,46,3054,150,92,29,2.2369149,4.6241508,10,0.9,0.0186,59,9,12
12447,-42.6793,146.6711,82.690414,14068,80.54543,1.5755104,91.45167,91.45167,1156,322,54,200,20,200,117,347,14.223333,4.6225,79,182,0,37,88,120,48,3218,182,120,42,0.11193429,3.4777474,2,0.9,0.0536,85,14,13
