"","sampleID","longitude","latitude"
"316","9462",148.7989,-35.43457
"317","9464",148.9125,-35.585983
"318","9466",148.9085,-35.59065
"319","9468",148.783217,-35.423783
"320","9484",138.2613,-35.60827
"321","9486",138.6902,-35.27211
"322","9488",138.0327,-32.82851
"323","9490",137.9574,-32.30339
"324","9492",138.1363,-32.74842
"325","9494",138.6038,-33.9142
"326","9496",138.8613,-34.60901
"327","9498",139.0061,-34.57692
"328","9500",138.9086,-34.6831
"329","9502",138.7083,-34.88076
"330","9504",138.727,-34.93343
"331","9506",137.9544,-32.32096
"332","9508",138.7976,-30.77565
"333","9510",138.5673,-31.32774
"334","9512",138.5946,-31.54388
"335","9514",140.7258,-33.97432
"336","9522",140.7273,-33.97274
"337","9524",140.7095,-34.01891
"338","9526",140.7615,-34.04459
"339","9528",140.7596,-34.04319
"340","9530",140.7186,-33.9569
"341","9567",145.895516,-41.532403
"342","9569",145.895516,-41.533383
"343","9571",145.881418,-41.555433
"344","9576",146.3034,-42.0436
"345","9586",148.029095,-41.183047
"346","9588",148.032013,-41.183515
