Sample	Intra_pi	Norm_intra_pi	Est_genome_cov	Num_loci	Total_num_alleles	Average_read_depth
401548	5.37563723353085e-06	4.80008461882152e-06	0.867980232565278	156	248	8.17948717948718
401640	3.66595682879608e-06	4.32761759091799e-06	0.846782541042336	118	194	10.5932203389831
401577	4.63876860087127e-06	5.52281359871184e-06	0.866487660020678	117	203	9.38461538461539
401656	4.43488390859621e-06	4.71579045023045e-06	0.856721140207094	131	214	9.22137404580153
401591	5.29483032973562e-06	6.58533031471256e-06	0.861926409343762	112	205	9.07142857142857
401570	3.02537806458683e-06	4.13164520463881e-06	0.770318627248924	102	160	6.94117647058824
401563	4.18396768906218e-06	5.77046068791453e-06	0.818185092955955	101	175	9.93069306930693
7083	3.36286295820476e-06	5.14767732152645e-06	0.769113128572519	91	149	6.52747252747253
401558	4.16657695268727e-06	4.8772608585924e-06	0.817505661747272	119	196	8.31932773109244
401636	4.06387501833218e-06	5.89674908693237e-06	0.787064660292107	96	168	7.57291666666667
401567	5.61051432324987e-06	4.62444383573176e-06	0.872665402296762	169	270	9.59763313609468
401652	3.79816151209048e-06	4.80976969793443e-06	0.804586645693985	110	176	7.84545454545455
401581	4.50106256303697e-06	5.69988249717343e-06	0.838015010067653	110	187	7.12727272727273
401554	3.89501011817478e-06	5.83403701289067e-06	0.733851489671067	93	165	8.39784946236559
401582	4.68570205442838e-06	6.46244462428436e-06	0.837816957667051	101	186	9.07920792079208
401586	4.09188280202783e-06	4.7106556077539e-06	0.801063405934459	121	188	5.79338842975207
401594	5.68608026042115e-06	4.98149156990606e-06	0.885707175750433	159	257	7.56603773584906
401648	2.70603764440262e-06	4.23533108465766e-06	0.701958857634818	89	134	4.84269662921348
401593	5.2137460135831e-06	5.856952799132e-06	0.874231472868237	124	218	7.56451612903226
401624	4.57880911397727e-06	5.18550390457943e-06	0.852033603254574	123	217	12.4634146341463
401632	4.35766689798736e-06	6.13143845542484e-06	0.790301130795715	99	169	7.77777777777778
401660	5.59593063304222e-06	5.77407063437075e-06	0.863801704837747	135	225	6.97777777777778
401580	4.83479400627655e-06	6.23588012555841e-06	0.858850746448698	108	196	9.77777777777778
401568	3.47131890312206e-06	4.7406498605043e-06	0.814141288054111	102	173	9.40196078431373
401583	4.93060601172011e-06	6.07806577908561e-06	0.87220091106842	113	211	10.4778761061947
401569	4.10049973912499e-06	5.49220814357131e-06	0.837169652672367	104	187	11.1153846153846
401550	4.43663920656137e-06	4.06587537973872e-06	0.868265204212234	152	237	7.28947368421053
401604	4.07629324391517e-06	5.30670785967583e-06	0.836213358928939	107	186	11.7196261682243
401573	4.14036326415835e-06	5.65433861838974e-06	0.791512544334837	102	167	7.22549019607843
12816	3.33947838584457e-06	6.46085030788864e-06	0.619799141451922	72	108	3.22222222222222
401588	3.71510332331501e-06	4.31254052465576e-06	0.797896534236478	120	190	7.85
401560	5.41331011041888e-06	4.54253578746065e-06	0.887934072056065	166	267	7.83132530120482
401556	4.88320231607471e-06	5.57555912666652e-06	0.8618220687697	122	210	8.41803278688525
401608	4.25433678221936e-06	6.10947188779504e-06	0.791967091850527	97	177	10.8659793814433
401564	4.22856452412476e-06	5.45397000190676e-06	0.829237330629838	108	186	11.5
401561	4.09881547659673e-06	5.19050030231837e-06	0.833805564310188	110	188	10.2636363636364
401595	4.09767625112327e-06	4.83725713487782e-06	0.842720121352164	118	189	7.01694915254237
401571	3.4575255178998e-06	4.81624900736361e-06	0.805863895215458	100	162	8.43
401592	4.99395153365647e-06	5.04090804546338e-06	0.837436650847919	138	227	9.20289855072464
401614	4.41584696111253e-06	6.61415858566847e-06	0.758394165171259	93	162	7.73118279569892
401658	5.85482671481703e-06	4.85454244378009e-06	0.880383695510129	168	271	9.49404761904762
401557	4.11743974017816e-06	4.86058769409773e-06	0.814161727739647	118	194	8.3135593220339
401600	4.00116322209726e-06	6.19280346175668e-06	0.749420111401622	90	159	8.63333333333333
401552	4.96041328747773e-06	5.04360229269892e-06	0.867860615790898	137	234	10.9197080291971
401589	4.26960770720168e-06	5.1271204814521e-06	0.833271107148247	116	193	7.18103448275862
401606	3.59985619604418e-06	4.91618841422599e-06	0.799935799738044	102	175	12.3039215686275
401579	4.04718510975067e-06	5.93434788049278e-06	0.760650813414516	95	161	7.98947368421053
401576	3.57266350427443e-06	4.73965087983276e-06	0.812977448179364	105	170	7.92380952380952
401616	3.62992251770306e-06	5.05639383778536e-06	0.797441309681282	100	163	5.91
401566	4.94434152616353e-06	6.95691673548403e-06	0.780864212603725	99	181	8.96969696969697
401553	4.79740799937118e-06	5.66328198024839e-06	0.811402051104586	118	196	6.14406779661017
138538	4.21492682538716e-06	5.1958324063695e-06	0.864368701473729	113	193	7.8141592920354
All_samples_combined	9.97165469725176e-06	NA	NA	533	742	95.703564727955
